Torneo_id;Freestyler_id;Participacion;Reemplazo;Freestyler_reemplazo;Clasificacion_id;Detalle
RB-2005;F-01;si;no;;Cla-16;Plaza extra para España
RB-2005;F-07;si;no;;Cla-01;
RB-2005;F-04;si;no;;Cla-04;
RB-2005;F-03;si;no;;Cla-01;
RB-2005;F-09;si;no;;Cla-04;
RB-2005;F-08;si;no;;Cla-04;
RB-2005;F-10;si;no;;Cla-04;
RB-2005;F-06;si;si;F-02;Cla-05;
RB-2006;F-11;si;no;;Cla-01;
RB-2006;F-12;si;no;;Cla-01;
RB-2006;F-13;si;no;;Cla-01;
RB-2006;F-14;si;no;;Cla-01;
RB-2006;F-06;si;no;;Cla-01;
RB-2006;F-15;si;no;;Cla-01;
RB-2006;F-16;si;no;;Cla-03;
RB-2006;F-17;si;no;;Cla-01;
RB-2006;F-18;si;no;;Cla-01;
RB-2006;F-09;si;no;;Cla-06;
RB-2006;F-19;si;no;;Cla-01;
RB-2006;F-20;si;no;;Cla-01;
RB-2006;F-21;si;no;;Cla-01;
RB-2006;F-22;si;no;;Cla-01;
RB-2006;F-23;si;no;;Cla-01;
RB-2006;F-24;si;no;;Cla-01;
RB-2007;F-25;si;no;;Cla-01;
RB-2007;F-11;si;no;;Cla-06;
RB-2007;F-26;si;no;;Cla-01;
RB-2007;F-27;si;no;;Cla-01;
RB-2007;F-28;si;no;;Cla-01;
RB-2007;F-29;si;no;;Cla-01;
RB-2007;F-16;si;no;;Cla-03;
RB-2007;F-30;no;no;;Cla-16;Fue negada su salida del pais debido al gobierno cubano.
RB-2007;F-31;si;no;;Cla-01;
RB-2007;F-32;si;no;;Cla-01;
RB-2007;F-33;si;no;;Cla-01;
RB-2007;F-34;si;no;;Cla-01;
RB-2007;F-35;si;no;;Cla-01;
RB-2007;F-36;si;no;;Cla-01;
RB-2007;F-37;si;no;;Cla-01;
RB-2007;F-38;si;no;;Cla-01;
RB-2008;F-39;si;no;;Cla-01;
RB-2008;F-40;si;si;F-12;Cla-05;
RB-2008;F-41;si;no;;Cla-01;
RB-2008;F-42;si;no;;Cla-01;
RB-2008;F-43;si;no;;Cla-01;
RB-2008;F-29;si;no;;Cla-06;
RB-2008;F-30;no;no;;Cla-16;Fue negada su salida del pais debido al gobierno cubano.
RB-2008;F-44;si;no;;Cla-01;
RB-2008;F-46;si;si;F-45;Cla-05;
RB-2008;F-47;si;no;;Cla-01;
RB-2008;F-48;si;no;;Cla-01;
RB-2008;F-19;si;no;;Cla-01;
RB-2008;F-49;no;no;;Cla-16;No se presento debido a problemas de pasaporte.
RB-2008;F-36;si;no;;Cla-01;
RB-2008;F-50;no;no;;Cla-16;No se presento debido a problemas de pasaporte.
RB-2008;F-51;si;no;;Cla-01;
RB-2009;F-11;si;no;;Cla-16;Invitado -  Campeon Internacional 2006
RB-2009;F-25;si;no;;Cla-16;Invitado - Campeon de Red Bull España 2007
RB-2009;F-39;si;no;;Cla-16;Invitado - Campeon de Red Bull España 2008
RB-2009;F-52;si;no;;Cla-01;
RB-2009;F-53;si;si;F-41;Cla-16;Chester sustituyo al campeon Internacional 2008, Hadrian.
RB-2009;F-29;si;no;;Cla-16;Invitado - Campeon Internacional 2007
RB-2009;F-46;si;no;;Cla-16;La invitacion de Mcklopedia se dio en base a logros obtenidos.
RB-2009;F-09;si;no;;Cla-16;Invitado - Campeon Internacional 2005
RB-2013;F-61;si;no;;Cla-01;
RB-2013;F-62;si;no;;Cla-01;
RB-2013;F-63;si;no;;Cla-01;
RB-2013;F-64;si;no;;Cla-01;
RB-2013;F-65;si;no;;Cla-01;
RB-2013;F-66;si;no;;Cla-01;
RB-2013;F-67;si;no;;Cla-01;
RB-2013;F-68;si;no;;Cla-01;
RB-2014;F-70;si;no;;Cla-01;
RB-2014;F-55;si;no;;Cla-01;
RB-2014;F-71;si;no;;Cla-01;
RB-2014;F-72;si;no;;Cla-01;
RB-2014;F-64;si;si;F-69;Cla-06;
RB-2014;F-73;si;no;;Cla-01;
RB-2014;F-74;si;no;;Cla-01;
RB-2014;F-75;si;no;;Cla-01;
RB-2015;F-52;si;no;;Cla-01;
RB-2015;F-55;si;no;;Cla-01;
RB-2015;F-69;si;no;;Cla-02;
RB-2015;F-76;si;no;;Cla-01;
RB-2015;F-64;si;no;;Cla-01;
RB-2015;F-77;si;no;;Cla-01;
RB-2015;F-78;si;no;;Cla-01;
RB-2015;F-79;si;no;;Cla-01;
RB-2016;F-81;si;no;;Cla-01;
RB-2016;F-52;si;no;;Cla-06;
RB-2016;F-61;si;no;;Cla-07;
RB-2016;F-62;si;no;;Cla-01;
RB-2016;F-55;si;no;;Cla-09;
RB-2016;F-82;si;no;;Cla-01;
RB-2016;F-83;si;no;;Cla-01;
RB-2016;F-84;si;no;;Cla-01;
RB-2016;F-85;si;no;;Cla-01;
RB-2016;F-86;si;no;;Cla-01;
RB-2016;F-78;si;no;;Cla-01;
RB-2016;F-87;si;si;F-80;Cla-05;
RB-2016;F-88;si;no;;Cla-01;
RB-2016;F-89;si;no;;Cla-01;
RB-2016;F-79;si;no;;Cla-08;
RB-2016;F-90;si;no;;Cla-01;
RB-2017;F-61;si;no;;Cla-01;
RB-2017;F-81;si;no;;Cla-06;
RB-2017;F-55;si;no;;Cla-01;
RB-2017;F-62;si;si;F-91;Cla-10;
RB-2017;F-94;si;no;;Cla-01;
RB-2017;F-95;si;no;;Cla-01;
RB-2017;F-96;si;no;;Cla-01;
RB-2017;F-97;si;no;;Cla-01;
RB-2017;F-98;si;no;;Cla-01;
RB-2017;F-99;si;no;;Cla-01;
RB-2017;F-78;si;no;;Cla-08;
RB-2017;F-92;si;no;;Cla-01;
RB-2017;F-93;si;no;;Cla-01;
RB-2017;F-80;si;no;;Cla-02;
RB-2017;F-52;si;no;;Cla-09;
RB-2017;F-100;si;no;;Cla-01;
RB-2018;F-52;si;no;;Cla-09;
RB-2018;F-101;si;no;;Cla-01;
RB-2018;F-55;si;no;;Cla-06;
RB-2018;F-102;si;no;;Cla-01;
RB-2018;F-103;si;no;;Cla-01;
RB-2018;F-104;si;no;;Cla-01;
RB-2018;F-105;si;no;;Cla-01;
RB-2018;F-106;si;no;;Cla-01;
RB-2018;F-96;si;no;;Cla-08;
RB-2018;F-107;si;no;;Cla-01;
RB-2018;F-108;si;no;;Cla-01;
RB-2018;F-86;si;no;;Cla-01;
RB-2018;F-98;si;no;;Cla-01;
RB-2018;F-91;si;no;;Cla-02;
RB-2018;F-109;si;no;;Cla-01;
RB-2018;F-110;si;no;;Cla-01;
RB-2019;F-113;si;no;;Cla-01;
RB-2019;F-109;si;si;F-111;Cla-07;
RB-2019;F-101;si;si;F-112;Cla-10;
RB-2019;F-96;si;no;;Cla-06;
RB-2019;F-114;si;no;;Cla-01;
RB-2019;F-86;si;no;;Cla-09;
RB-2019;F-117;si;si;F-116;Cla-05;
RB-2019;F-118;si;no;;Cla-01;
RB-2019;F-119;si;no;;Cla-01;
RB-2019;F-120;si;no;;Cla-01;
RB-2019;F-121;si;no;;Cla-01;
RB-2019;F-55;si;no;;Cla-08;
RB-2019;F-123;si;no;;Cla-01;
RB-2019;F-122;si;no;;Cla-01;
RB-2019;F-124;si;no;;Cla-01;
RB-2019;F-115;si;no;;Cla-01;
RB-2020;F-111;si;no;;Cla-02;
RB-2020;F-112;si;no;;Cla-02;
RB-2020;F-125;si;no;;Cla-01;
RB-2020;F-99;si;no;;Cla-01;
RB-2020;F-86;si;no;;Cla-08;
RB-2020;F-66;si;no;;Cla-01;
RB-2020;F-126;si;no;;Cla-01;
RB-2020;F-60;si;no;;Cla-01;
RB-2020;F-127;si;no;;Cla-01;
RB-2020;F-120;si;no;;Cla-01;
RB-2020;F-102;si;no;;Cla-01;
RB-2020;F-55;si;no;;Cla-09;
RB-2020;F-128;si;no;;Cla-01;
RB-2020;F-124;si;no;;Cla-01;
RB-2020;F-81;si;no;;Cla-01;
RB-2020;F-101;si;no;;Cla-06;
RB-2021;F-129;si;no;;Cla-01;
RB-2021;F-51;si;no;;Cla-01;
RB-2021;F-130;si;no;;Cla-01;
RB-2021;F-131;si;no;;Cla-01;
RB-2021;F-132;si;no;;Cla-01;
RB-2021;F-133;si;no;;Cla-01;
RB-2021;F-81;si;no;;Cla-08;
RB-2021;F-134;si;no;;Cla-01;
RB-2021;F-135;si;no;;Cla-01;
RB-2021;F-66;si;no;;Cla-01;
RB-2021;F-141;si;no;;Cla-11;
RB-2021;F-128;si;no;;Cla-01;
RB-2021;F-136;si;no;;Cla-01;
RB-2021;F-102;si;no;;Cla-06;
RB-2021;F-55;si;no;;Cla-09;
RB-2021;F-143;si;no;;Cla-07;
RB-2022;F-144;si;no;;Cla-01;
RB-2022;F-55;si;no;;Cla-06;
RB-2022;F-102;si;si;F-147;Cla-10;
RB-2022;F-135;si;no;;Cla-12;
RB-2022;F-145;si;no;;Cla-01;
RB-2022;F-81;si;no;;Cla-06;
RB-2022;F-133;si;no;;Cla-09;
RB-2022;F-115;si;no;;Cla-01;
RB-2022;F-86;si;si;F-146;Cla-15;
RB-2022;F-92;si;no;;Cla-01;
RB-2022;F-148;si;no;;Cla-01;
RB-2022;F-117;si;no;;Cla-01;
RB-2022;F-149;si;no;;Cla-01;
RB-2022;F-138;si;no;;Cla-11;
RB-2022;F-116;si;no;;Cla-07;
RB-2022;F-105;si;si;F-128;Cla-13;
