Torneo_id;Nombre_Torneo;Pais_id;Fecha;Patrocinador;Numero_Espectadores;Himno;Link_Himno;Detalle;;
RB-2005;Red Bull Batalla de los Gallos Internacional 2005;P-17;02/10/2005;Red Bull;600;;;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2005;;
RB-2006;Red Bull Batalla de los Gallos Internacional 2006;P-04;04/11/2006;Red Bull;900;;;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2006;;
RB-2007;Red Bull Batalla de los Gallos Internacional 2007;P-20;27/10/2007;Red Bull;1000;;;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2007;;
RB-2008;Red Bull Batalla de los Gallos Internacional 2008;P-13;22/11/2008;Red Bull;2500;;;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2008;;
RB-2009;Red Bull Batalla de los Gallos Internacional 2009;P-09;10/12/2009;Red Bull;2000;;;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2009;;
RB-2012;Red Bull Batalla de los Gallos 2012;;;Red Bull;;;;;;
RB-2013;Red Bull Batalla de los Gallos Internacional 2013;P-01;05/12/2013;Red Bull;5000;;;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2013;;
RB-2014;Red Bull Batalla de los Gallos Internacional 2014;P-09;01/11/2014;Red Bull;1500;;;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2014;;
RB-2015;Red Bull Batalla de los Gallos Internacional 2015;P-03;13/12/2015;Red Bull;15000;De  esquina a esquina;https://www.youtube.com/watch?v=fORpN8Bx_8Y;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2015;;
RB-2016;Red Bull Batalla de los Gallos Internacional 2016;P-16;12/11/2016;Red Bull;25000;Ya ganamos;https://www.youtube.com/watch?v=zyXxz6xdIqo;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2016;;
RB-2017;Red Bull Batalla de los Gallos Internacional 2017;P-13;03/12/2017;Red Bull;11000;Rima y no llores;https://www.youtube.com/watch?v=fYcFlPy9bj4;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2017;;
RB-2018;Red Bull Batalla de los Gallos Internacional 2018;P-01;09/12/2018;Red Bull;10000;Maestros de ceremonia;https://www.youtube.com/watch?v=L3yNVzfk6mQ;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2018;;
RB-2019;Red Bull Batalla de los Gallos Internacional 2019;P-09;30/11/2019;Red Bull;17000;Camaleon;https://www.youtube.com/watch?v=00GqFXvfZi0;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2019;;
RB-2020;Red Bull Batalla de los Gallos Internacional 2020;P-18;12/12/2020;Red Bull;;Imparables;https://www.youtube.com/watch?v=oqxC3sN0pgg;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2020;;
RB-2021;Red Bull Batalla de los Gallos Internacional 2021;P-03;11/12/2021;Red Bull;5600;Crescendo;https://www.youtube.com/watch?v=X5mqaq6tumA;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2021;;
RB-2022;Red Bull Batalla de los Gallos Internacional 2022;P-13;10/12/2022;Red Bull;17000;;;https://rap.fandom.com/es/wiki/Red_Bull_Batalla_de_los_Gallos_Internacional_2022;;
TP-2021;Torneo de Plazas 2021;P-03;09/12/2021;Red Bull;;;;https://rap.fandom.com/es/wiki/Torneo_de_Plazas_2021;;
TP-2022;Torneo de Plazas 2022;P-13;26/11/2022;Red Bull;;;;https://rap.fandom.com/es/wiki/Torneo_de_Plazas_2022;;
TS-2022;Torneo de Subcampeones 2022;P-13;02/12/2022;Red Bull;;;;https://mundofreestyle.com/skiper-clasifica-resultados-del-torneo-de-subcampeones-de-red-bull-batalla-2022/;;
